strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,max_drawdown,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboMR_DownClose_ReversalUpBar_LowVolatilityRegime,3,"DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter","DownCloseFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter",62,3.41,True,233862.0,2.93,3771.97,-33936.0,31,31,1.3,4.43,10,3.56,ROBUST,0.6717,0.2778,6,INCONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_BelowFastSMA_DownClose_LowVolatilityRegime,3,"BelowFastSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter","BelowFastSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter",573,31.47,True,233223.0,1.2,407.02,-85803.0,334,239,1.02,1.43,30,1.35,STABLE_BORDERLINE,0.6309,0.6842,1,CONSISTENT,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_DownClose_LowVolatilityRegime_StretchFromLongTermSMA,3,"DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",282,15.49,True,348357.0,1.59,1235.31,-113928.0,164,118,1.29,1.99,13,1.36,ROBUST,0.7043,0.6842,1,CONSISTENT,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_ReversalUpBar_StretchFromLongTermSMA,3,"BelowFastSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter","BelowFastSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter",206,11.31,True,257931.0,1.59,1252.09,-92133.0,127,79,1.09,2.35,13,2.12,STABLE,0.6928,0.5789,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_DownClose_LowVolatilityRegime_CloseNearLow,3,"DownCloseFilter,LowVolatilityRegimeFilter,CloseNearLowFilter","DownCloseFilter,LowVolatilityRegimeFilter,CloseNearLowFilter",600,32.95,True,100800.0,1.08,168.0,-252363.0,354,246,0.81,1.45,29,1.96,REGIME_DEPENDENT,0.5879,0.5789,3,MIXED,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.CloseNearLowFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_LowVolatilityRegime,3,"BelowFastSMAFilter,DistanceBelowSMAFilter,LowVolatilityRegimeFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,LowVolatilityRegimeFilter",458,25.16,True,205233.0,1.21,448.11,-100305.0,241,217,1.01,1.42,31,2.04,STABLE_BORDERLINE,0.6378,0.5263,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_ReversalUpBar_LowVolatilityRegime_StretchFromLongTermSMA,3,"ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","ReversalUpBarFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",242,13.29,True,184467.0,1.36,762.26,-124221.0,148,94,0.65,2.44,10,4.08,REGIME_DEPENDENT,0.6425,0.4737,3,MIXED,"[<class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_DownClose,3,"BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,DownCloseFilter",679,37.29,True,42429.0,1.03,62.49,-130137.0,356,323,1.03,1.03,44,0.77,STABLE_BORDERLINE,0.567,0.4737,2,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>]"
ComboMR_DistanceBelowSMA_ReversalUpBar_StretchFromLongTermSMA,3,"DistanceBelowSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,StretchFromLongTermSMAFilter",148,8.13,True,180273.0,1.57,1218.06,-89688.0,81,67,1.22,1.95,12,2.31,ROBUST_BORDERLINE,0.7042,0.5789,3,MIXED,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.ReversalUpBarFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_DownClose_CloseNearLow,3,"BelowFastSMAFilter,DownCloseFilter,CloseNearLowFilter","BelowFastSMAFilter,DownCloseFilter,CloseNearLowFilter",694,38.12,True,31494.0,1.02,45.38,-129024.0,405,289,1.0,1.05,37,0.45,MARGINAL_BORDERLINE,0.5413,0.5263,2,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.CloseNearLowFilter'>]"
ComboMR_BelowFastSMA_DownClose_AboveLongTermSMA,3,"BelowFastSMAFilter,DownCloseFilter,AboveLongTermSMAFilter","BelowFastSMAFilter,DownCloseFilter,AboveLongTermSMAFilter",430,23.62,True,207630.0,1.24,482.86,-98583.0,236,194,1.08,1.42,32,1.14,STABLE,0.6036,0.5789,2,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_DistanceBelowSMA_DownClose_LowVolatilityRegime,3,"DistanceBelowSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter","DistanceBelowSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter",407,22.35,True,153282.0,1.18,376.61,-125217.0,211,196,1.24,1.12,26,1.35,STABLE_BORDERLINE,0.6289,0.5263,2,MIXED,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>]"
ComboMR_BelowFastSMA_LowVolatilityRegime_AboveLongTermSMA,3,"BelowFastSMAFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter","BelowFastSMAFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter",382,20.98,True,256032.0,1.34,670.24,-121485.0,214,168,0.98,1.75,24,1.43,REGIME_DEPENDENT,0.5927,0.5263,3,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_DownClose_TwoBarDown,3,"BelowFastSMAFilter,DownCloseFilter,TwoBarDownFilter","BelowFastSMAFilter,DownCloseFilter,TwoBarDownFilter",544,29.88,True,-12531.0,0.99,-23.03,-218475.0,315,229,0.87,1.13,36,1.4,MARGINAL_BORDERLINE,0.5693,0.5263,2,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.TwoBarDownFilter'>]"
ComboMR_DownClose_AboveLongTermSMA_CloseNearLow,3,"DownCloseFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DownCloseFilter,AboveLongTermSMAFilter,CloseNearLowFilter",450,24.72,True,118800.0,1.13,264.0,-201753.0,245,205,0.74,1.56,28,2.0,REGIME_DEPENDENT,0.5694,0.4737,3,MIXED,"[<class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.AboveLongTermSMAFilter'>, <class 'modules.filters.CloseNearLowFilter'>]"
ComboMR_DistanceBelowSMA_DownClose_LowVolatilityRegime_StretchFromLongTermSMA,4,"DistanceBelowSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter","DistanceBelowSMAFilter,DownCloseFilter,LowVolatilityRegimeFilter,StretchFromLongTermSMAFilter",218,11.97,True,143868.0,1.31,659.94,-96960.0,125,93,1.38,1.24,11,1.63,ROBUST_BORDERLINE,0.6835,0.6842,2,CONSISTENT,"[<class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.DownCloseFilter'>, <class 'modules.filters.LowVolatilityRegimeFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
ComboMR_BelowFastSMA_DistanceBelowSMA_StretchFromLongTermSMA,3,"BelowFastSMAFilter,DistanceBelowSMAFilter,StretchFromLongTermSMAFilter","BelowFastSMAFilter,DistanceBelowSMAFilter,StretchFromLongTermSMAFilter",458,25.16,True,154833.0,1.16,338.06,-135744.0,259,199,0.85,1.52,27,1.67,REGIME_DEPENDENT,0.5625,0.5263,4,MIXED,"[<class 'modules.filters.BelowFastSMAFilter'>, <class 'modules.filters.DistanceBelowSMAFilter'>, <class 'modules.filters.StretchFromLongTermSMAFilter'>]"
